code,type,title,intro,description,qq,pic,qqlink,color
xdosc,tech,西电开源社区,技术豪杰与隐藏大佬无处不在,致力于在全校范围内推广开源软件与精神的技术社区，运营有开源镜像、校内 Git 等服务,"851993750",0,https://qm.qq.com/q/pMzu2QfUgU,teal
hifi,tech,西电Hifi社团,HiFi大舞台 能听你就来,围绕高保真音乐播放的社团，耳机、解码器等,"748159827",2,https://qm.qq.com/q/M2TiedELUy,indigo
acg-touhou,acg,西电ACG社团之东方萌妹子部门,女孩子之间多好啊（误）,关于东方project与其二创的交流地带,"741623391",1,https://qm.qq.com/q/8Lnn2oWeOI,pink
acg-band,acg,西电ACG社团之偶像同好会,待定,关于偶像团体等的交流地带,"741623391",0,https://qm.qq.com/q/8Lnn2oWeOI,brown
acg-minecraft,acg|game,西电ACG社团之Minecraft部门,西电最大的Minecraft社群哦,围绕Minecraft沙盒游戏的交流，提供服务器连接,"741623391",1,https://qm.qq.com/q/8Lnn2oWeOI,green
xduna,tech|union,西电网络问题答疑群(网络管理协会),保佑啊，宿舍网别断了,负责学校网络维护的学生组织,"739956355",1,https://qm.qq.com/q/LHd9Rg4tY4,lime
ruisi,tech|union,西电睿思论坛/资源站咨询群,反正免校园网资源谁不喜欢呢？,学校内部的论坛和资源共享站，群聊为用户反馈群,"346648508",0,https://qm.qq.com/q/EuhtEvtDgW,red
frisbee,sport,西电极限飞盘社,快到盘里来,关于飞碟运动的社团,"861106373",0,"",red
bicycle,sport,西电骑行者,“有些事，如果你现在不做，那以后再也没有机会了”,关于自行车和骑行的运动社团,"238569746",0,"",orange
radio,tech,西电业余无线电社,以无线电波通联全球，丈量无尽远方！,围绕业余无线电的社团，包括不限于发射机、天线、打电报等。群聊是招新群,"1054795643",1,https://qm.qq.com/q/OcSI3v06k0,blue
mind,art,鹿鸣学会,给广大的爱好书籍的同学提供一个交流的舞台,人文历史交流社团,"615332226",0,https://qm.qq.com/q/tvNwNshNwA,amber
